Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN,matched_name,use_microbit
"Yellville-Summit School District, Arkansas",NDA,YELLVILLE-SUMMIT SCHOOL DISTRICT,ARKANSAS,NCES_District-0514490,1124 N PANTHER AVE,YELLVILLE,http://yspanthers.k12.ar.us,YELLVILLE-SUMMIT SCHOOL DISTRICT.,Yes
"Florida Department of Health, Florida",NDA,FLORIDA DEPARTMENT OF HEALTH,FLORIDA,NCES_District-1201290,500 E OCEAN BLVD,STUART,http://www.martinschools.org/,MARTIN,Yes
"Michigan State University, Michigan",NDA,MICHIGAN STATE UNIVERSITY,MICHIGAN,NCES_District-2601104,7188 Avenue B,Vestaburg,http://www.successmichigan.org,SUCCESS VIRTUAL LEARNING CENTERS OF MICHIGAN,Yes
"Teaneck Township School District, New Jersey",NDA,TEANECK TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3416080,651 Teaneck Road,Teaneck,http://www.teaneckschools.org,TEANECK SCHOOL DISTRICT,Yes
"Bay Path Regional Vocational Technical High School, Massachusetts",NDA,BAY PATH REGIONAL VOCATIONAL TECHNICAL HIGH SCHOOL,MASSACHUSETTS,NCES_District-2500071,190 Cummins Highway,Roslindale,http://www.ebrooke.org,BROOKE CHARTER SCHOOL (DISTRICT),Yes
"Tuscola Intermediate School District, Michigan",NDA,TUSCOLA INTERMEDIATE SCHOOL DISTRICT,MICHIGAN,NCES_District-2601017,801 BROADWAY AVE NORTHWEST STE 225,GRAND RAPIDS,http://nextechhigh.org/academics/,NEXTECH HIGH SCHOOL,Yes
"Washington Unified School District, California",NDA,WASHINGTON UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0601415,7950 South Elm Ave.,Fresno,http://www.washingtonunified.org,WASHINGTON UNIFIED,Yes
"Chaffey College, California",NDA,CHAFFEY COLLEGE,CALIFORNIA,NCES_District-0602423,2890 Gateway Oaks Dr. Ste. 100,Sacramento,http://www.fortuneschool.us,HARDY BROWN COLLEGE PREP DISTRICT,Yes
"Marshall County, Iowa",NDA,MARSHALL COUNTY,IOWA,NCES_District-1900040,PO BOX 159,Gilman,http://www.emmustangs.org,EAST MARSHALL COMM SCHOOL DISTRICT,Yes
"City of Tacoma, Washington",NDA,CITY OF TACOMA,WASHINGTON,NCES_District-5300313,11605 132ND AVE NE,KIRKLAND,http://www.lwtech.edu/academics/high-school/,LAKE WASHINGTON INSTITUTE OF TECHNOLOGY,Yes
"Tacoma Public Utilities, Washington",NDA,TACOMA PUBLIC UTILITIES,WASHINGTON,NCES_District-5300343,9601 35th Ave SW,Seattle,,SUMMIT PUBLIC SCHOOL: ATLAS,Yes
"Tolles Joint Vocational School District, Ohio",NDA,TOLLES JOINT VOCATIONAL SCHOOL DISTRICT,OHIO,NCES_District-3900001,500 Morse Rd,Columbus,,OHIO SCHOOL FOR THE DEAF,Yes
"University of Michigan - Dearborn, Michigan",NDA,UNIVERSITY OF MICHIGAN - DEARBORN,MICHIGAN,NCES_District-2600308,13943 EAST 8 MILE RD,WARREN,http://www.academyofwarren.net,ACADEMY OF WARREN,Yes
"Washington State Department of Social and Health Services, Washington",NDA,WASHINGTON STATE DEPARTMENT OF SOCIAL AND HEALTH SERVICES,WASHINGTON,NCES_District-5300341,2700 Evergreen Parkway NW,Olympia,,EVERGREEN STATE COLLEGE,Yes
"Stafford Public Schools, Connecticut",NDA,STAFFORD PUBLIC SCHOOLS,CONNECTICUT,NCES_District-0904290,16 Levinthal Run,Stafford Springs,http://www.stafford.k12.ct.us,STAFFORD SCHOOL DISTRICT,Yes
"Washington County, Oregon",NDA,WASHINGTON COUNTY,OREGON,NCES_District-4103630,PO Box 828,Crane,http://cranehighschool.org,HARNEY COUNTY UNION HIGH SD 1J,Yes
"Williston Public School District #7, North Dakota",NDA,WILLISTON PUBLIC SCHOOL DISTRICT #7,NORTH DAKOTA,NCES_District-3800060,2184 101st Ave SE,Wimbledon,http://www.barnescountynorth.k12.nd.us,BARNES COUNTY NORTH 7,Yes
"Oakmont High School, California",NDA,OAKMONT HIGH SCHOOL,CALIFORNIA,NCES_District-0602203,PO Box 1806,Vista,http://www.tradetechhigh.org,NORTH COUNTY TRADE TECH HIGH DISTRICT,Yes
"Brandon Valley School District, South Dakota",NDA,BRANDON VALLEY SCHOOL DISTRICT,SOUTH DAKOTA,NCES_District-4607950,300 S Splitrock Blvd,Brandon,http://www.brandonvalleyschools.com,BRANDON VALLEY SCHOOL DISTRICT 49-2,Yes
"Athens Independent School District, Texas",NDA,ATHENS INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800058,12333 N LAMAR BLVD,AUSTIN,http://www.nyos.org,NYOS CHARTER SCHOOL,Yes
"Village of Chatham, Illinois",NDA,VILLAGE OF CHATHAM,ILLINOIS,NCES_District-1700023,5837 Park Dr Ste 1,Charleston,,EASTERN IL AREA OF SPEC EDUC,Yes
"St. Anthony-New Brighton Public School District No. 282, Minnesota",NDA,ST. ANTHONY-NEW BRIGHTON PUBLIC SCHOOL DISTRICT NO. 282,MINNESOTA,NCES_District-2700001,8659 UNITY DR,MOUNTAIN IRON,http://www.mib.k12.mn.us/,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,Yes
"Penta Career Center, Ohio",NDA,PENTA CAREER CENTER,OHIO,NCES_District-3905135,9301 Buck Rd,Perrysburg,,PENTA CAREER CENTER - DISTRICT,Yes
"Blue Valley Schools, Kansas",NDA,BLUE VALLEY SCHOOLS,KANSAS,NCES_District-2010980,Box 98,Randolph,http://www.usd384.org,BLUE VALLEY,Yes
"Canyon Independent School District, Texas",NDA,CANYON INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800058,12333 N LAMAR BLVD,AUSTIN,http://www.nyos.org,NYOS CHARTER SCHOOL,Yes
"Kent State University, Ohio",NDA,KENT STATE UNIVERSITY,OHIO,NCES_District-3900586,3950 Indianola Ave,Columbus,http://www.thecharlesschool.org,CHARLES SCHOOL AT OHIO DOMINICAN UNIVERSITY,Yes
"Springfield School District 85, Minnesota",NDA,SPRINGFIELD SCHOOL DISTRICT 85,MINNESOTA,NCES_District-2733390,12 S BURNS,SPRINGFIELD,http://www.springfield.mntm.org/,SPRINGFIELD PUBLIC SCHOOL DISTRICT,Yes
"Township High School District No. 211, Illinois",NDA,TOWNSHIP HIGH SCHOOL DISTRICT NO. 211,ILLINOIS,NCES_District-1741010,304 E Almond Dr,Washington,http://www.d50schools.com,DISTRICT 50 SCHOOLS,Yes
"University of North Carolina-Greensboro, North Carolina",NDA,UNIVERSITY OF NORTH CAROLINA-GREENSBORO,NORTH CAROLINA,NCES_District-3700146,PO Box 19713,Durham,,NC CENTRAL UNIVERSITY,Yes
"City of Friendswood, Texas",NDA,CITY OF FRIENDSWOOD,TEXAS,NCES_District-4801421,P O BOX 170057,ARLINGTON,http://newmanacademy.org,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,Yes
"School District 145 Waverly, Nebraska",NDA,SCHOOL DISTRICT 145 WAVERLY,NEBRASKA,NCES_District-3100021,14511 HEYWOOD ST,WAVERLY,,WAVERLY SCHOOL DISTRICT 145,Yes
"Crawford County R-II School District, Missouri",NDA,CRAWFORD COUNTY R-II SCHOOL DISTRICT,MISSOURI,NCES_District-2900001,PO BOX 819,BELLE,http://mariesr2.org/,MARIES CO. R-II,Yes
"Massapequa Public Schools, New York",NDA,MASSAPEQUA PUBLIC SCHOOLS,NEW YORK,NCES_District-3600055,136-25 218TH ST,SPRINGFIELD GARDENS,http://www.merrickacademy.org,MERRICK ACADEMY-QUEENS PUBLIC CHARTER SCHOOL,Yes
"Oregon Department of Corrections, Oregon",NDA,OREGON DEPARTMENT OF CORRECTIONS,OREGON,NCES_District-4100009,255 Capitol St NE,Salem,http://www.oregon.gov/ode/,OREGON DEPARTMENT OF EDUCATION,Yes
"Douglas Middle School, Wyoming",NDA,DOUGLAS MIDDLE SCHOOL,WYOMING,NCES_District-5604120,P.O. Box 489,Pine Bluffs,http://laramie2.org/,LARAMIE COUNTY SCHOOL DISTRICT #2,Yes
"Denville Township School District, New Jersey",NDA,DENVILLE TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3403870,1 St. Mary's Place,Denville,http://www.denville.org,DENVILLE TOWNSHIP K-8 SCHOOL DISTRICT,Yes
"Woodburn School District No. 103, Oregon",NDA,WOODBURN SCHOOL DISTRICT NO. 103,OREGON,NCES_District-4100043,255 Capitol St NE,Salem,,ODE YCEP DISTRICT,Yes
"Department of Military Affairs, Virginia",NDA,DEPARTMENT OF MILITARY AFFAIRS,VIRGINIA,NCES_District-5100042,PO Box 2120,Richmond,http://www.doe.virginia.gov/programs-services/student-services/state-operated-programs,DEPARTMENT OF EDUCATION STATE-OPERATED EDUC PRGMS,Yes
"University of California-Davis, California",NDA,UNIVERSITY OF CALIFORNIA-DAVIS,CALIFORNIA,NCES_District-0602388,580 N. Wilma Ave. Ste. G,Ripon,http://www.connectionsacademy.com/calca,CALIFORNIA CONNECTIONS ACADEMY NORTHERN CALIFORNIA DISTRICT,Yes
"Mountain View School District, Pennsylvania",NDA,MOUNTAIN VIEW SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4216050,11748 State Route 106,Kingsley,http://www.mvsd.net,MOUNTAIN VIEW SD,Yes
"Mount Pleasant Independent School District, Texas",NDA,MOUNT PLEASANT INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4831770,501 TEXAS HWY 37,MOUNT VERNON,http://www.mtvernonisd.net,MOUNT VERNON ISD,Yes
"The University of South Dakota, South Dakota",NDA,THE UNIVERSITY OF SOUTH DAKOTA,SOUTH DAKOTA,NCES_District-4607670,401 Birdsell St,Bonesteel,http://southcentral.k12.sd.us,SOUTH CENTRAL 26-5,Yes
"Virginia Commonwealth University, Virginia",NDA,VIRGINIA COMMONWEALTH UNIVERSITY,VIRGINIA,NCES_District-5100041,UVA Health System,Charlottesville,,UNIVERSITY OF VIRGINIA,Yes
"Virginia Military Institute, Virginia",NDA,VIRGINIA MILITARY INSTITUTE,VIRGINIA,NCES_District-5100026,PO Box 389,Manassas,,NORTHERN VIRGINIA REGIONAL SPECIAL EDUCATION PGM,Yes
"Worcester State University, Massachusetts",NDA,WORCESTER STATE UNIVERSITY,MASSACHUSETTS,NCES_District-2513230,20 Irving Street,Worcester,http://www.worcesterschools.org,WORCESTER,Yes
"South Dakota School of Mines & Technology, South Dakota",NDA,SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,SOUTH DAKOTA,NCES_District-4621390,PO Box 190,Elkton,http://www.elkton.k12.sd.us,ELKTON SCHOOL DISTRICT 05-3,Yes
"Sacramento City Unified School District, California",NDA,SACRAMENTO CITY UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0633840,PO Box 246870,Sacramento,http://www.scusd.edu,SACRAMENTO CITY UNIFIED,Yes
"Burley Elementary School, Illinois",NDA,BURLEY ELEMENTARY SCHOOL,ILLINOIS,NCES_District-1701431,4930 S Cottage Grove Ave,Chicago,http://www.bacsk8.org/,BRONZEVILLE ACADEMY CHTR SCHOOL,Yes
"Carter County School District, Kentucky",NDA,CARTER COUNTY SCHOOL DISTRICT,KENTUCKY,NCES_District-2101020,228 S Carol Malone Blvd,Grayson,http://www.cartercountyschools.org/,CARTER COUNTY,Yes
"Ruidoso Municipal Schools, New Mexico",NDA,RUIDOSO MUNICIPAL SCHOOLS,NEW MEXICO,NCES_District-3502310,200 HORTON CIRCLE,RUIDOSO,http://www.ruidososchools.org,RUIDOSO,Yes
"University of Massachusetts - Dartmouth, Massachusetts",NDA,UNIVERSITY OF MASSACHUSETTS - DARTMOUTH,MASSACHUSETTS,NCES_District-2504020,8 Bush Street,Dartmouth,http://www.dartmouth.school,DARTMOUTH,Yes
"Inver Grove Heights Indpendent School District No. 199, Minnesota",NDA,INVER GROVE HEIGHTS INDPENDENT SCHOOL DISTRICT NO. 199,MINNESOTA,NCES_District-2700001,8659 UNITY DR,MOUNTAIN IRON,http://www.mib.k12.mn.us/,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,Yes
"City of Chubbuck, Idaho",NDA,CITY OF CHUBBUCK,IDAHO,NCES_District-1600197,2511 WEST CHARRY LANE,MERIDIAN,,DORAL ACADEMY OF IDAHO INC.,Yes
"Comsewogue School District, New York",NDA,COMSEWOGUE SCHOOL DISTRICT,NEW YORK,NCES_District-3613950,27 FARRAGUT AVE,HASTINGS ON HUDSON,http://www.hohschools.org,HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT,Yes
"School Of The Osage District R-2, Missouri",NDA,SCHOOL OF THE OSAGE DISTRICT R-2,MISSOURI,NCES_District-2927630,PO BOX 1960,LAKE OZARK,http://osageschools.org/,SCHOOL OF THE OSAGE,Yes
"Port of Los Angeles, California",NDA,PORT OF LOS ANGELES,CALIFORNIA,NCES_District-0601850,250 W. Fifth St.,San Pedro,http://polahs.net,PORT OF LOS ANGELES HIGH DISTRICT,Yes
"Dripping Springs Independent School District, Texas",NDA,DRIPPING SPRINGS INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800275,11250 S WILCREST,HOUSTON,http://www.stepcharter.org/,STEP CHARTER SCHOOL,Yes
"Port of Bellingham, Washington",NDA,PORT OF BELLINGHAM,WASHINGTON,NCES_District-5300313,11605 132ND AVE NE,KIRKLAND,http://www.lwtech.edu/academics/high-school/,LAKE WASHINGTON INSTITUTE OF TECHNOLOGY,Yes
"Consolidated School District No. 158, Illinois",NDA,CONSOLIDATED SCHOOL DISTRICT NO. 158,ILLINOIS,NCES_District-1741010,304 E Almond Dr,Washington,http://www.d50schools.com,DISTRICT 50 SCHOOLS,Yes
"Monroe Career & Technical Institute, Pennsylvania",NDA,MONROE CAREER & TECHNICAL INSTITUTE,PENNSYLVANIA,NCES_District-4280320,194 Laurel Lake Road,Bartonsville,http://www.monroecti.org,MONROE CAREER AND TECHNICAL INSTITUTE,Yes
"University of California-Riverside, California",NDA,UNIVERSITY OF CALIFORNIA-RIVERSIDE,CALIFORNIA,NCES_District-0602567,12020 Burbank Blvd.,Valley Village,http://cwceastvalley.org/,CITIZENS OF THE WORLD CHARTER SCHOOL EAST VALLEY DISTRICT,Yes
"Hugoton USD 210, Kansas",NDA,HUGOTON USD 210,KANSAS,NCES_District-2007380,P.O. Box 352,Holton,http://www.holtonks.net,HOLTON,Yes
"Huron Intermediate School District, Michigan",NDA,HURON INTERMEDIATE SCHOOL DISTRICT,MICHIGAN,NCES_District-2680200,17111 G DR N,MARSHALL,http://www.calhounisd.org,CALHOUN INTERMEDIATE SCHOOL DISTRICT,Yes
"Medina Public School District #3, North Dakota",NDA,MEDINA PUBLIC SCHOOL DISTRICT #3,NORTH DAKOTA,NCES_District-3802380,PO Box 368,Beach,http://www.beach.k12.nd.us,BEACH 3,Yes
"School District of Marshfield, Wisconsin",NDA,SCHOOL DISTRICT OF MARSHFIELD,WISCONSIN,NCES_District-5508820,1010 E Fourth St,Marshfield,http://www.marshfieldschools.org,MARSHFIELD UNIFIED SCHOOL DISTRICT,Yes
"Sgt. Jose F. Carrasco Elementary School, Texas",NDA,SGT. JOSE F. CARRASCO ELEMENTARY SCHOOL,TEXAS,NCES_District-4801410,2849 9TH AVE,PORT ARTHUR,http://www.bobhopeschool.org,BOB HOPE SCHOOL,Yes
"Oak Grove School District 68, Illinois",NDA,OAK GROVE SCHOOL DISTRICT 68,ILLINOIS,NCES_District-1729250,260 Madison St,Oak Park,http://www.op97.org,OAK PARK ESD 97,Yes
"Everett Area School District, Pennsylvania",NDA,EVERETT AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4209360,427 E SOUTH ST,EVERETT,http://www.everettasd.org,EVERETT AREA SD,Yes
"Lehigh Career & Technical Institute (LCTI), Pennsylvania",NDA,LEHIGH CAREER & TECHNICAL INSTITUTE (LCTI),PENNSYLVANIA,NCES_District-4280290,4500 Education Park Drive,Schnecksville,http://www.lcti.org,LEHIGH CAREER AND TECHNICAL INSTITUTE,Yes
"Grand Island School District 2, Nebraska",NDA,GRAND ISLAND SCHOOL DISTRICT 2,NEBRASKA,NCES_District-3100150,2311 N 60TH ST,LINCOLN,,MORTON SCHOOL,Yes
"Johnson County, Wyoming",NDA,JOHNSON COUNTY,WYOMING,NCES_District-5603770,601 West Lott Street,Buffalo,http://www.jcsd1.us,JOHNSON COUNTY SCHOOL DISTRICT #1,Yes
"Sunnyside Unified School District #12, Arizona",NDA,SUNNYSIDE UNIFIED SCHOOL DISTRICT #12,ARIZONA,NCES_District-0408170,2238 E GINTER RD,TUCSON,http://www.susd12.org,SUNNYSIDE UNIFIED DISTRICT (4407),Yes
"Cedarville Public Schools, Arkansas",NDA,CEDARVILLE PUBLIC SCHOOLS,ARKANSAS,NCES_District-0510290,P O BOX DRAWER D,MULBERRY,http://www.mpvschools.com,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,Yes
"Howard-Winneshiek Community School District, Iowa",NDA,HOWARD-WINNESHIEK COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1914280,1000 Schroder Dr,Cresco,http://www.howard-winn.k12.ia.us,HOWARD-WINNESHIEK COMM SCHOOL DISTRICT,Yes
"Nebraska Department of Correctional Services, Nebraska",NDA,NEBRASKA DEPARTMENT OF CORRECTIONAL SERVICES,NEBRASKA,NCES_District-3100191,5900 WALKER,LINCOLN,,NEBRASKA YOUTH ACADEMY,Yes
"Highland Park Borough School District, New Jersey",NDA,HIGHLAND PARK BOROUGH SCHOOL DISTRICT,NEW JERSEY,NCES_District-3407170,435 MANSFIELD STREET,HIGHLAND PARK,http://WWW.HPSCHOOLS.NET,HIGHLAND PARK BORO SCHOOL DISTRICT,Yes
"Vernon College, Texas",NDA,VERNON COLLEGE,TEXAS,NCES_District-4801463,3000 TRULLEY ST STE 200,HOUSTON,http://www.yellowstonecollegeprep.org,YELLOWSTONE COLLEGE PREPARATORY,Yes
"Jefferson County Education Service District (JCESD), Oregon",NDA,JEFFERSON COUNTY EDUCATION SERVICE DISTRICT (JCESD),OREGON,NCES_District-4106900,PO Box 160,Murphy,http://www.threerivers.k12.or.us,THREE RIVERS/JOSEPHINE COUNTY SD,Yes
"Ephrata School District No. 165, Washington",NDA,EPHRATA SCHOOL DISTRICT NO. 165,WASHINGTON,NCES_District-5302610,111 4TH AVE NW,EPHRATA,http://www.ephrataschools.org,EPHRATA SCHOOL DISTRICT,Yes
"Chaparral Middle School, California",NDA,CHAPARRAL MIDDLE SCHOOL,CALIFORNIA,NCES_District-0601689,1030 La Bonita Dr.,San Marcos,http://www.pivotsandiego.com,PIVOT CHARTER SCHOOL - SAN DIEGO II DISTRICT,Yes
"City of Alvin, Texas",NDA,CITY OF ALVIN,TEXAS,NCES_District-4801429,2860 VIRGINIA PRKWAY,MCKINNEY,http://www.imaginenorthtexas.org,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,Yes
"City of Baltimore, Maryland",NDA,CITY OF BALTIMORE,MARYLAND,NCES_District-2400090,200 East North Avenue,Baltimore,http://www.baltimorecityschools.org,BALTIMORE CITY PUBLIC SCHOOLS,Yes
"Stow-Munroe Falls City School District School District, Ohio",NDA,STOW-MUNROE FALLS CITY SCHOOL DISTRICT SCHOOL DISTRICT,OHIO,NCES_District-3904483,4350 Allen Rd,Stow,http://www.smfschools.org/,STOW-MUNROE FALLS CITY SCHOOL DISTRICT,Yes
"Lewis-Palmer Consolidated School District No. 38, Colorado",NDA,LEWIS-PALMER CONSOLIDATED SCHOOL DISTRICT NO. 38,COLORADO,NCES_District-0805820,P O BOX 40,MONUMENT,http://www.lewispalmer.org,LEWIS-PALMER CONSOLIDATED SCHOOL DISTRICT NO. 38 IN THE CO,Yes
"Florida International University, Florida",NDA,FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,NCES_District-1201290,500 E OCEAN BLVD,STUART,http://www.martinschools.org/,MARTIN,Yes
"Downers Grove Grade School District 58, Illinois",NDA,DOWNERS GROVE GRADE SCHOOL DISTRICT 58,ILLINOIS,NCES_District-1742510,815 W 7th St,Centralia,http://www.willowgroveschool.com,WILLOW GROVE SD 46,Yes
"Tennessee Board of Regents, Tennessee",NDA,TENNESSEE BOARD OF REGENTS,TENNESSEE,NCES_District-4700157,500 James Robertson PKWY,Nashville,http://www.tn.gov/tn-public-charter-schoolcommission.html,TENNESSEE PUBLIC CHARTER SCHOOL COMMISSION,Yes
"Bald Eagle Area School District, Pennsylvania",NDA,BALD EAGLE AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4202910,751 S Eagle Valley Rd,Wingate,http://www.beasd.org,BALD EAGLE AREA SD,Yes
"Benson Public School District No. 777, Minnesota",NDA,BENSON PUBLIC SCHOOL DISTRICT NO. 777,MINNESOTA,NCES_District-2704470,1400 MONTANA AVE,BENSON,http://www.benson.k12.mn.us/,BENSON PUBLIC SCHOOL DISTRICT,Yes
"Harrisonville Cass R-IX School District, Missouri",NDA,HARRISONVILLE CASS R-IX SCHOOL DISTRICT,MISSOURI,NCES_District-2900001,PO BOX 819,BELLE,http://mariesr2.org/,MARIES CO. R-II,Yes
"Southern Nevada Water Authority, Nevada",NDA,SOUTHERN NEVADA WATER AUTHORITY,NEVADA,NCES_District-3200240,PO Box 1300,Battle Mountain,http://www.lander.k12.nv.us/,LANDER,Yes
"Elmbrook Schools, Wisconsin",NDA,ELMBROOK SCHOOLS,WISCONSIN,NCES_District-5501770,Elmbrook Schools,Brookfield,http://www.elmbrookschools.org,ELMBROOK SCHOOL DISTRICT,Yes
"Social Security Administration - GSA, District of Columbia",NDA,SOCIAL SECURITY ADMINISTRATION - GSA,DISTRICT OF COLUMBIA,NCES_District-1100115,5450 3RD STREET NE,WASHINGTON,http://thesocialjusticeschool.org/,SOCIAL JUSTICE PCS,Yes
"North Carolina A&T State University, North Carolina",NDA,NORTH CAROLINA A&T STATE UNIVERSITY,NORTH CAROLINA,NCES_District-3700470,NO STREET ADDRESS,DURHAM,,NORTH OAK ACADEMY,Yes
"City of Pilot Point, Texas",NDA,CITY OF PILOT POINT,TEXAS,NCES_District-4801440,2021 LAKESIDE BLVD,RICHARDSON,http://www.iltexas.org/,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),Yes
"Herty Advanced Materials Development Center, Georgia",NDA,HERTY ADVANCED MATERIALS DEVELOPMENT CENTER,GEORGIA,NCES_District-1302820,396 Tomlinson Street,McDonough,,HENRY COUNTY,Yes
"New River Community College, Virginia",NDA,NEW RIVER COMMUNITY COLLEGE,VIRGINIA,NCES_District-5100082,C/O Southeastern Alt School,Midland,,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,Yes
"Redbank Valley School District, Pennsylvania",NDA,REDBANK VALLEY SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4220130,920 E Broad St,New Bethlehem,http://www.redbankvalley.net,REDBANK VALLEY SD,Yes
"Yonkers Public Schools, New York",NDA,YONKERS PUBLIC SCHOOLS,NEW YORK,NCES_District-3601138,22 MARBLE HILL AVE,BRONX,http://www.atmosphereacademy.org,ATMOSPHERE ACADEMY PUBLIC CHARTER SCHOOL,Yes
"Jefferson-Morgan School District, Pennsylvania",NDA,JEFFERSON-MORGAN SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4212390,1351 Jefferson Rd,Jefferson,http://www.jmsd.org,JEFFERSON-MORGAN SD,Yes
"Susquehanna Township School District, Pennsylvania",NDA,SUSQUEHANNA TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4223010,2579 Interstate Drive,Harrisburg,http://www.hannasd.org,SUSQUEHANNA TOWNSHIP SD,Yes
"University of North Dakota, North Dakota",NDA,UNIVERSITY OF NORTH DAKOTA,NORTH DAKOTA,NCES_District-3800040,PO Box 37,Petersburg,http://www.dakota-prairie.k12.nd.us/,DAKOTA PRAIRIE 1,Yes
"Hannibal School District #60, Missouri",NDA,HANNIBAL SCHOOL DISTRICT #60,MISSOURI,NCES_District-2913650,4650 MCMASTERS AVE,HANNIBAL,http://www.hannibal.k12.mo.us/,HANNIBAL 60,Yes
"North Idaho College, Idaho",NDA,NORTH IDAHO COLLEGE,IDAHO,NCES_District-1603517,PO BOX 921,EAGLE,,IDAHO NOVUS CLASSICAL ACADEMY LLC,Yes
"Hillsborough Area Regional Transit Authority, Florida",NDA,HILLSBOROUGH AREA REGIONAL TRANSIT AUTHORITY,FLORIDA,NCES_District-1200870,PO BOX 3408,TAMPA,http://www.sdhc.k12.fl.us/,HILLSBOROUGH,Yes
"Sikeston R-VI School District, Missouri",NDA,SIKESTON R-VI SCHOOL DISTRICT,MISSOURI,NCES_District-2900001,PO BOX 819,BELLE,http://mariesr2.org/,MARIES CO. R-II,Yes
"Chicago Park District, Illinois",NDA,CHICAGO PARK DISTRICT,ILLINOIS,NCES_District-1700255,8701 Menard Ave,Morton Grove,,NILES TWP DISTRICT FOR SPEC EDUC,Yes
"Florida Agency for Person with Disabilities, Florida",NDA,FLORIDA AGENCY FOR PERSON WITH DISABILITIES,FLORIDA,NCES_District-1201440,445 W AMELIA ST,ORLANDO,http://www.ocps.net,ORANGE,Yes
"Washington Township School District (Gloucester County), New Jersey",NDA,WASHINGTON TOWNSHIP SCHOOL DISTRICT (GLOUCESTER COUNTY),NEW JERSEY,NCES_District-3417070,206 East Holly Avenue,Sewell,http://www.wtps.org,WASHINGTON TOWNSHIP SCHOOL DISTRICT,Yes
"Los Angeles City Housing Authority, California",NDA,LOS ANGELES CITY HOUSING AUTHORITY,CALIFORNIA,NCES_District-0638980,9700 Las Tunas Dr.,Temple City,http://www.tcusd.net,TEMPLE CITY UNIFIED,Yes
"Marble Falls Independent School District, Texas",NDA,MARBLE FALLS INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4829010,1800 COLT CIR,MARBLE FALLS,http://www.marblefallsisd.org,MARBLE FALLS ISD,Yes
"Jersey Community Unit School District No. 100, Illinois",NDA,JERSEY COMMUNITY UNIT SCHOOL DISTRICT NO. 100,ILLINOIS,NCES_District-1709330,300 E Durfee St,Cerro Gordo,http://www.cgbroncos.org,CERRO GORDO CUSD 100,Yes
"University of Oregon, Oregon",NDA,UNIVERSITY OF OREGON,OREGON,NCES_District-4100009,255 Capitol St NE,Salem,http://www.oregon.gov/ode/,OREGON DEPARTMENT OF EDUCATION,Yes
"Brewer School Department, Maine",NDA,BREWER SCHOOL DEPARTMENT,MAINE,NCES_District-2314813,25 Shaker Rd,Gray,http://www.fiddleheadschool.org,FIDDLEHEAD SCHOOL OF ARTS AND SCIENCES,Yes
"Northern Wyoming Community College/Sheridan College, Wyoming",NDA,NORTHERN WYOMING COMMUNITY COLLEGE/SHERIDAN COLLEGE,WYOMING,NCES_District-5600005,401 Hathaway Building,Cheyenne,http://wdh.state.wy.us,WYOMING DEPARTMENT OF HEALTH,Yes
"Conejo Valley Unified School District, California",NDA,CONEJO VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0609640,750 Mitchell Rd.,Newbury Park,http://www.conejousd.org,CONEJO VALLEY UNIFIED,Yes
"Southern Crescent Technical College, Georgia",NDA,SOUTHERN CRESCENT TECHNICAL COLLEGE,GEORGIA,NCES_District-1304620,100 Learning Lane,Americus,http://www.sumterschools.org,SUMTER COUNTY,Yes
"Regional School District No. 10, Connecticut",NDA,REGIONAL SCHOOL DISTRICT NO. 10,CONNECTICUT,NCES_District-0903520,24 Lyon Road,Burlington,http://www.region10ct.org/,REGIONAL SCHOOL DISTRICT 10,Yes
