Agency,,Total spend (approx),Number of purchases
"Pender County Schools, North Carolina",,NDA,NDA
"Athens Independent School District, Texas",,NDA,NDA
"Duplin County Schools, North Carolina",,NDA,NDA
"Village of Chatham, Illinois",,NDA,NDA
"St. Anthony-New Brighton Public School District No. 282, Minnesota",,NDA,NDA
"Penta Career Center, Ohio",,NDA,NDA
"Blue Valley Schools, Kansas",,NDA,NDA
"Canyon Independent School District, Texas",,NDA,NDA
"East Central ISD, Texas",,NDA,NDA
"Kent State University, Ohio",,NDA,NDA
"Port Washington Union Free School District, New York",,NDA,NDA
"Springfield School District 85, Minnesota",,NDA,NDA
"Township High School District No. 211, Illinois",,NDA,NDA
"University of North Carolina-Greensboro, North Carolina",,NDA,NDA
"City of Friendswood, Texas",,NDA,NDA
"School District 145 Waverly, Nebraska",,NDA,NDA
"Crawford County R-II School District, Missouri",,NDA,NDA
"Massapequa Public Schools, New York",,NDA,NDA
"Oregon Department of Corrections, Oregon",,NDA,NDA
"Douglas Middle School, Wyoming",,NDA,NDA
"Denville Township School District, New Jersey",,NDA,NDA
"Woodburn School District No. 103, Oregon",,NDA,NDA
"Department of Military Affairs, Virginia",,NDA,NDA
"University of California-Davis, California",,NDA,NDA
"Mountain View School District, Pennsylvania",,NDA,NDA
"Mount Pleasant Independent School District, Texas",,NDA,NDA
"The University of South Dakota, South Dakota",,NDA,NDA
"Virginia Commonwealth University, Virginia",,NDA,NDA
"Virginia Military Institute, Virginia",,NDA,NDA
"Lower Yukon School District, Alaska",,NDA,NDA
"Worcester State University, Massachusetts",,NDA,NDA
"Union City School District, New Jersey",,NDA,NDA
"South Dakota School of Mines & Technology, South Dakota",,NDA,NDA
"Sacramento City Unified School District, California",,NDA,NDA
"Burley Elementary School, Illinois",,NDA,NDA
"Carter County School District, Kentucky",,NDA,NDA
"Ruidoso Municipal Schools, New Mexico",,NDA,NDA
"University of Massachusetts - Dartmouth, Massachusetts",,NDA,NDA
"Inver Grove Heights Indpendent School District No. 199, Minnesota",,NDA,NDA
"City of Chubbuck, Idaho",,NDA,NDA
"Avoca Central School District, New York",,NDA,NDA
"Comsewogue School District, New York",,NDA,NDA
"School Of The Osage District R-2, Missouri",,NDA,NDA
"Port of Los Angeles, California",,NDA,NDA
"Dripping Springs Independent School District, Texas",,NDA,NDA
"Richfield Springs Central School District, New York",,NDA,NDA
"Port of Bellingham, Washington",,NDA,NDA
"Consolidated School District No. 158, Illinois",,NDA,NDA
"Monroe Career & Technical Institute, Pennsylvania",,NDA,NDA
"University of California-Riverside, California",,NDA,NDA
"Hugoton USD 210, Kansas",,NDA,NDA
"Huron Intermediate School District, Michigan",,NDA,NDA
"Medina Public School District #3, North Dakota",,NDA,NDA
"School District of Marshfield, Wisconsin",,NDA,NDA
"Sgt. Jose F. Carrasco Elementary School, Texas",,NDA,NDA
"Oak Grove School District 68, Illinois",,NDA,NDA
"Manton Consolidated Schools, Michigan",,NDA,NDA
"Everett Area School District, Pennsylvania",,NDA,NDA
"Goshen Central School District, New York",,NDA,NDA
"Stoughton Area School District, Wisconsin",,NDA,NDA
"Lehigh Career & Technical Institute (LCTI), Pennsylvania",,NDA,NDA
"Grand Island School District 2, Nebraska",,NDA,NDA
"Johnson County, Wyoming",,NDA,NDA
"Sunnyside Unified School District #12, Arizona",,NDA,NDA
"Cedarville Public Schools, Arkansas",,NDA,NDA
"Howard-Winneshiek Community School District, Iowa",,NDA,NDA
"Nebraska Department of Correctional Services, Nebraska",,NDA,NDA
"Highland Park Borough School District, New Jersey",,NDA,NDA
"Vernon College, Texas",,NDA,NDA
"Jefferson County Education Service District (JCESD), Oregon",,NDA,NDA
"Ephrata School District No. 165, Washington",,NDA,NDA
"Albion Central School District, New York",,NDA,NDA
"Chaparral Middle School, California",,NDA,NDA
"Queensbury Union Free School District, New York",,NDA,NDA
"City of Alvin, Texas",,NDA,NDA
"City of Baltimore, Maryland",,NDA,NDA
"Stow-Munroe Falls City School District School District, Ohio",,NDA,NDA
"Lewis-Palmer Consolidated School District No. 38, Colorado",,NDA,NDA
"Florida International University, Florida",,NDA,NDA
"Downers Grove Grade School District 58, Illinois",,NDA,NDA
"Tennessee Board of Regents, Tennessee",,NDA,NDA
"Bald Eagle Area School District, Pennsylvania",,NDA,NDA
"Benson Public School District No. 777, Minnesota",,NDA,NDA
"Harrisonville Cass R-IX School District, Missouri",,NDA,NDA
"Southern Nevada Water Authority, Nevada",,NDA,NDA
"Elmbrook Schools, Wisconsin",,NDA,NDA
"Social Security Administration - GSA, District of Columbia",,NDA,NDA
"North Carolina A&T State University, North Carolina",,NDA,NDA
"City of Pilot Point, Texas",,NDA,NDA
"Herty Advanced Materials Development Center, Georgia",,NDA,NDA
"New River Community College, Virginia",,NDA,NDA
"Fraser Public Schools, Michigan",,NDA,NDA
"Central Islip Union Free School District, New York",,NDA,NDA
"Redbank Valley School District, Pennsylvania",,NDA,NDA
"Yonkers Public Schools, New York",,NDA,NDA
"Jefferson-Morgan School District, Pennsylvania",,NDA,NDA
"Susquehanna Township School District, Pennsylvania",,NDA,NDA
"University of North Dakota, North Dakota",,NDA,NDA
"Hannibal School District #60, Missouri",,NDA,NDA
"North Idaho College, Idaho",,NDA,NDA
"Hillsborough Area Regional Transit Authority, Florida",,NDA,NDA
"Louisville Public Schools, Nebraska",,NDA,NDA
"Duanesburg Central School District, New York",,NDA,NDA
"Sikeston R-VI School District, Missouri",,NDA,NDA
"Chicago Park District, Illinois",,NDA,NDA
"East Islip Union Free School District, New York",,NDA,NDA
"Franklin Public Schools, Nebraska",,NDA,NDA
"Florida Agency for Person with Disabilities, Florida",,NDA,NDA
"Washington Township School District (Gloucester County), New Jersey",,NDA,NDA
"Los Angeles City Housing Authority, California",,NDA,NDA
"Marble Falls Independent School District, Texas",,NDA,NDA
"Jersey Community Unit School District No. 100, Illinois",,NDA,NDA
"University of Oregon, Oregon",,NDA,NDA
"Brewer School Department, Maine",,NDA,NDA
"Northern Wyoming Community College/Sheridan College, Wyoming",,NDA,NDA
"Conejo Valley Unified School District, California",,NDA,NDA
"Southern Crescent Technical College, Georgia",,NDA,NDA
"Regional School District No. 10, Connecticut",,NDA,NDA
"Catoosa County Public Schools, Georgia",,NDA,NDA
"College of Dupage, Illinois",,NDA,NDA
"Henderson State University, Arkansas",,NDA,NDA
"Whitefish Bay School District, Wisconsin",,NDA,NDA
"Soap Lake School District, Washington",,NDA,NDA
"Anaheim Elementary School District, California",,NDA,NDA
"California Department of Corrections and Rehabilitation, California",,NDA,NDA
"University of North Georgia, Georgia",,NDA,NDA
"Union County Public Schools, North Carolina",,NDA,NDA
"Kingsborough Community College CUNY, New York",,NDA,NDA
"City College of New York CUNY, New York",,NDA,NDA
"Kern High School District, California",,NDA,NDA
"University Of Missouri -Science & Technology, Missouri",,NDA,NDA
"University Of Missouri-Columbia (Mizzou), Missouri",,NDA,NDA
"Kalispell Public Schools, Montana",,NDA,NDA
"Bonner Springs/Edwardsville USD 204, Kansas",,NDA,NDA
"Eastern Kentucky University, Kentucky",,NDA,NDA
"University of Massachusetts Medical School, Massachusetts",,NDA,NDA
"Slippery Rock University, Pennsylvania",,NDA,NDA
"Lewisville Independent School District, Texas",,NDA,NDA
"Robinson ISD, Texas",,NDA,NDA
"USD 232 DeSoto, Kansas",,NDA,NDA
"Redfield School District 56-4, South Dakota",,NDA,NDA
"Hilton Central School District, New York",,NDA,NDA
"Chapel Hill-Carrboro City Schools, North Carolina",,NDA,NDA
"Crown Point Community School Corporation, Indiana",,NDA,NDA
"Starkville Oktibbeha County School District, Mississippi",,NDA,NDA
"Starkville School District, Mississippi",,NDA,NDA
"Town Of Oyster Bay, New York",,NDA,NDA
"Hickory Ridge Middle School, North Carolina",,NDA,NDA
"Oxford Academy Central School District, New York",,NDA,NDA
"Calhoun County Schools, West Virginia",,NDA,NDA
"Wilson Middle School, Washington",,NDA,NDA
"City of Shafter, California",,NDA,NDA
"Texas Parks & Wildlife Department, Texas",,NDA,NDA
"Geneva Community Unit School District 304, Illinois",,NDA,NDA
"South Orangetown Central School District, New York",,NDA,NDA
"Tolt Middle School, Washington",,NDA,NDA
"Oregon State University, Oregon",,NDA,NDA
"Sherman ISD, Texas",,NDA,NDA
"Clayton State University, Georgia",,NDA,NDA
"Chenango Forks Central School District, New York",,NDA,NDA
"Western Kentucky University, Kentucky",,NDA,NDA
"Morris Hills Regional School District, New Jersey",,NDA,NDA
"Youngstown State University, Ohio",,NDA,NDA
"Denison Community School District, Iowa",,NDA,NDA
"Stewartville Public School District No. 534, Minnesota",,NDA,NDA
"Millersville University Of Pennsylvania, Pennsylvania",,NDA,NDA
"East Mills Community School District, Iowa",,NDA,NDA
"Berkner High School, Texas",,NDA,NDA
"New Milford Borough School District, New Jersey",,NDA,NDA
"University of Massachusetts - Amherst, Massachusetts",,NDA,NDA
"San Angelo ISD, Texas",,NDA,NDA
"Bucks County Community College, Pennsylvania",,NDA,NDA
"Bay-Arenac ISD, Michigan",,NDA,NDA
"New York City School District #4, New York",,NDA,NDA
"Cozad City Schools, Nebraska",,NDA,NDA
"Kane County, Utah",,NDA,NDA
"Goddard USD 265, Kansas",,NDA,NDA
"Lehman College CUNY , New York",,NDA,NDA
"Deptford Township School District, New Jersey",,NDA,NDA
"Herricks Union Free School District, New York",,NDA,NDA
"National Institute of Neurological Disorders and Stroke (NINDS), Maryland",,NDA,NDA
"Elkhorn Valley Schools, Nebraska",,NDA,NDA
"White Salmon Valley School District, Washington",,NDA,NDA
"Forestville Central School District, New York",,NDA,NDA
"City of Burlington Public Schools, New Jersey",,NDA,NDA
"Hull-Daisetta Independent School District, Texas",,NDA,NDA
"University of Colorado at Boulder, Colorado",,NDA,NDA
"Village of Round Lake Beach, Illinois",,NDA,NDA
"Havre Public Schools, Montana",,NDA,NDA
"University of Texas at Dallas, Texas",,NDA,NDA
"Marlboro Central School District, New York",,NDA,NDA
"City of Atlanta, Georgia",,NDA,NDA
"Hartsfield-Jackson Atlanta International Airport, Georgia",,NDA,NDA
"Evanston-Skokie Community Consolidated School District No. 65, Illinois",,NDA,NDA
"Albert Lea Area Schools, Minnesota",,NDA,NDA
"Devils Lake Public Schools, North Dakota",,NDA,NDA
"Othello School District 147, Washington",,NDA,NDA
"Ellensburg School District, Washington",,NDA,NDA
"Greencastle-Antrim School District, Pennsylvania",,NDA,NDA
"St. Bernard Parish Public Schools, Louisiana",,NDA,NDA
"Georgia Department of Natural Resources, Georgia",,NDA,NDA
"Peace River-Manasota Regional Water Supply Authority, Florida",,NDA,NDA
"Albuquerque School of Excellence, New Mexico",,NDA,NDA
"Bowling Green State University, Ohio",,NDA,NDA
"Hennepin County, Minnesota",,NDA,NDA
"City of Midland, Michigan",,NDA,NDA
"National Institute on Drug Abuse (NIDA), Maryland",,NDA,NDA
"Sampson County Schools, North Carolina",,NDA,NDA
"Waterford Unified School District, California",,NDA,NDA
"Wenatchee School District, Washington",,NDA,NDA
"Franklin County Technical School, Massachusetts",,NDA,NDA
"County of Solano, California",,NDA,NDA
"Piner-Olivet Union School District, California",,NDA,NDA
"St. Mary's Area School District, Pennsylvania",,NDA,NDA
"SUNY Stony Brook University, New York",,NDA,NDA
"Oley Valley School District, Pennsylvania",,NDA,NDA
"Alameda County Office of Education, California",,NDA,NDA
"Cicero Public School District No. 99, Illinois",,NDA,NDA
"Deer Lakes School District, Pennsylvania",,NDA,NDA
"Shawnee Community College, Illinois",,NDA,NDA
"Borough of Pottstown, Pennsylvania",,NDA,NDA
"Eagle Mountain-Saginaw ISD, Texas",,NDA,NDA
"Marlington Local School District, Ohio",,NDA,NDA
"Addison Central School District, New York",,NDA,NDA
"University of North Texas System, Texas",,NDA,NDA
"Slippery Rock Area School District, Pennsylvania",,NDA,NDA
"Wabasha-Kellogg School District, Minnesota",,NDA,NDA
"Tri-County Public School District 300, Nebraska",,NDA,NDA
"Pasadena City College, California",,NDA,NDA
"Georgia State University, Georgia",,NDA,NDA
"Creston Community School District, Iowa",,NDA,NDA
"Parkland School District, Pennsylvania",,NDA,NDA
"Town of Northbridge, Massachusetts",,NDA,NDA
"Tea Area School District, South Dakota",,NDA,NDA
"Pembroke Central School District, New York",,NDA,NDA
"Elizabeth City State University, North Carolina",,NDA,NDA
"Fort Sam Houston ISD, Texas",,NDA,NDA
"Necedah Area School District, Wisconsin",,NDA,NDA
"Florida Union Free School District, New York",,NDA,NDA
"City of Los Angeles, California",,NDA,NDA
"Everman ISD, Texas",,NDA,NDA
"Smithton R-VI School District, Missouri",,NDA,NDA
"Virginia State University, Virginia",,NDA,NDA
"The Smithtown Library, New York",,NDA,NDA
"Trinity Area School District, Pennsylvania",,NDA,NDA
"Littlefield ISD, Texas",,NDA,NDA
"George Mason University, Virginia",,NDA,NDA
"Long Branch City School District, New Jersey",,NDA,NDA
"Public Schools of Northborough and Southborough, Massachusetts",,NDA,NDA
"Shaler Area High School, Pennsylvania",,NDA,NDA
"University of Iowa, Iowa",,NDA,NDA
"Edgewood ISD, Texas",,NDA,NDA
"Republic School District, Missouri",,NDA,NDA
"Cherry Valley-Springfield Central School District, New York",,NDA,NDA
"South Harrison Community School Corporation, Indiana",,NDA,NDA
"Walnut Creek School District, California",,NDA,NDA
"New York City School District #6, New York",,NDA,NDA
"Millville Area School District, Pennsylvania",,NDA,NDA
"Avon Lake City School District, Ohio",,NDA,NDA
"R. Brown McAllister STEM Elementary, North Carolina",,NDA,NDA
"Mid-Prairie Community School District, Iowa",,NDA,NDA
"Octorara Area School District, Pennsylvania",,NDA,NDA
"Princess Anne Elementary School, Virginia",,NDA,NDA
"Alsip-Hazelgreen-Oak Lawn School District No. 126, Illinois",,NDA,NDA
"Faribault Public School District No. 656, Minnesota",,NDA,NDA
"Lebanon School District, New Hampshire",,NDA,NDA
"Southwestern Community College, North Carolina",,NDA,NDA
"Warwick School District, Rhode Island",,NDA,NDA
"J. Sterling Morton High School District No. 201, Illinois",,NDA,NDA
"City University of New York CUNY, New York",,NDA,NDA
"College of Staten Island CUNY, New York",,NDA,NDA
"Fillmore Central School District, New York",,NDA,NDA
"Juneau Community Charter School, Alaska",,NDA,NDA
"Fluvanna County Public Schools, Virginia",,NDA,NDA
"Bethany Elementary School, California",,NDA,NDA
"Bleyl Middle School, Texas",,NDA,NDA
"Clay County School District, Florida",,NDA,NDA
"Baraboo School District, Wisconsin",,NDA,NDA
"Iberia Parish School District, Louisiana",,NDA,NDA
"Pio Pico Elementary School, California",,NDA,NDA
"Vista Unified School District, California",,NDA,NDA
"Brazoria County, Texas",,NDA,NDA
"Silverado Middle School, California",,NDA,NDA
"Tipton Community School Corporation, Indiana",,NDA,NDA
"Briar Glen Elementary School, Illinois",,NDA,NDA
"Glen Ellyn Community Consolidated School District No. 89, Illinois",,NDA,NDA
"Palm Beach State College, Florida",,NDA,NDA
"Ventura Unified School District, California",,NDA,NDA
"Princeton Public Schools, New Jersey",,NDA,NDA
"Grinnell-Newburg Community School District, Iowa",,NDA,NDA
"New York City School District #27, New York",,NDA,NDA
"Estherville Lincoln Central Community School District, Iowa",,NDA,NDA
"Amphitheater Public Schools, Arizona",,NDA,NDA
"Western Carolina University, North Carolina",,NDA,NDA
"West Grand School District 1, Colorado",,NDA,NDA
"Orchard Park Central School District, New York",,NDA,NDA
"Kutztown University of Pennsylvania, Pennsylvania",,NDA,NDA
"Southwestern Community College District, California",,NDA,NDA
"Dalton Local School District, Ohio",,NDA,NDA
"City of Key West, Florida",,NDA,NDA
"University of Texas Health Science Center at San Antonio, Texas",,NDA,NDA
"Rowan University, New Jersey",,NDA,NDA
"NC Department of Administration, North Carolina",,NDA,NDA
"Kettle Moraine School District, Wisconsin",,NDA,NDA
"Hopkins County School District, Kentucky",,NDA,NDA
"Antelope Crossing Middle School, California",,NDA,NDA
"Shiawassee Regional Education Service District, Michigan",,NDA,NDA
"Salem Public Schools, Massachusetts",,NDA,NDA
"Twin Rivers Unified School District, California",,NDA,NDA
"Clovis Municipal School District, New Mexico",,NDA,NDA
"Monona Grove School District, Wisconsin",,NDA,NDA
"Pine Tree Independent School District, Texas",,NDA,NDA
"Community High School District No. 155, Illinois",,NDA,NDA
"Marshall Public Schools, Missouri",,NDA,NDA
"Wattsburg Area School District, Pennsylvania",,NDA,NDA
"The University of Texas Health Science Center at Houston, Texas",,NDA,NDA
"Greenville Central School District, New York",,NDA,NDA
"Fairfield Middle School, Iowa",,NDA,NDA
"Hazlet Township School District, New Jersey",,NDA,NDA
"Pickaway-Ross County Joint Vocational School District, Ohio",,NDA,NDA
"Antelope School District, California",,NDA,NDA
"Lenox Public Schools, Massachusetts",,NDA,NDA
"City of Alamosa, Colorado",,NDA,NDA
"Harper College, Illinois",,NDA,NDA
"University of Texas at San Antonio, Texas",,NDA,NDA
"Gale-Ettrick-Trempealeau School District, Wisconsin",,NDA,NDA
"Thurgood Marshall Elementary, Texas",,NDA,NDA
"The University of Colorado - UCHealth Anschutz Medical Campus, Colorado",,NDA,NDA
"Juniata Valley School District, Pennsylvania",,NDA,NDA
"Liberty Borough of Allegheny County, Pennsylvania",,NDA,NDA
"Liberty County, Georgia",,NDA,NDA
"Manheim Central School Districts, Pennsylvania",,NDA,NDA
"Ossining Union Free School District, New York",,NDA,NDA
"Sidney Central School District, New York",,NDA,NDA
"Sioux Falls School District, South Dakota",,NDA,NDA
"Susquehanna Valley Central School District, New York",,NDA,NDA
"Tulpehocken Area School District, Pennsylvania",,NDA,NDA
"Western Foothills Regional School Unit #10 (RSU 10), Maine",,NDA,NDA
"Ashland-Greenwood Public Schools, Nebraska",,NDA,NDA
"Kaukauna Area School District, Wisconsin",,NDA,NDA
"Township of Stafford, New Jersey",,NDA,NDA
"Central Lee Community School District, Iowa",,NDA,NDA
"University of South Florida, Florida",,NDA,NDA
"Governor Mifflin School District, Pennsylvania",,NDA,NDA
"Enterprise Elementary School District, California",,NDA,NDA
"Marysville Public Schools, Michigan",,NDA,NDA
"West Clermont Local School District, Ohio",,NDA,NDA
"Iroquois School District, Pennsylvania",,NDA,NDA
"Lake Mills Community School District, Iowa",,NDA,NDA
"Brigantine City School District, New Jersey",,NDA,NDA
"Rockaway Township School District, New Jersey",,NDA,NDA
"New Brighton Area School District, Pennsylvania",,NDA,NDA
"Schertz-Cibolo-Universal City Independent School District, Texas",,NDA,NDA
"Burleson Independent School District, Texas",,NDA,NDA
"Ulster BOCES, New York",,NDA,NDA
"Southwest Independent School District, Texas",,NDA,NDA
"Reeds Spring R-IV School District, Missouri",,NDA,NDA
"Cherry Creek School District No. 5, Colorado",,NDA,NDA
"Thief River Falls Public School, Minnesota",,NDA,NDA
"Ocean Lakes High School, Virginia",,NDA,NDA
"Westside High School, Texas",,NDA,NDA
"Montgomery County Public Schools, Virginia",,NDA,NDA
"August Knodt Elementary School, California",,NDA,NDA
"National Cancer Institute (NCI), Maryland",,NDA,NDA
"Community Memorial Hospital, Ohio",,NDA,NDA
"Pine-Richland School District, Pennsylvania",,NDA,NDA
"Catasauqua Area School District, Pennsylvania",,NDA,NDA
"Tennessee State Department Of Corrections, Tennessee",,NDA,NDA
"Dunellen Borough School District, New Jersey",,NDA,NDA
"Town of North Reading, Massachusetts",,NDA,NDA
"Henry Hudson Regional School District, New Jersey",,NDA,NDA
"Harbor Creek School District, Pennsylvania",,NDA,NDA
"Greeneview Local School District, Ohio",,NDA,NDA
"Fulton School District 58, Missouri",,NDA,NDA
"Estes Park School District R-3, Colorado",,NDA,NDA
"Aberdeen School District, South Dakota",,NDA,NDA
"John B Reibli Elementary, California",,NDA,NDA
"New York City School District #26, New York",,NDA,NDA
"West Ada School District, Idaho",,NDA,NDA
"Friendswood Independent School District, Texas",,NDA,NDA
"Syosset Central School District, New York",,NDA,NDA
"Sutherlin School District, Oregon",,NDA,NDA
"Bedford Area School District, Pennsylvania",,NDA,NDA
"Coltrane-Webb STEM Elementary, North Carolina",,NDA,NDA
"Piedmont VA Community College, Virginia",,NDA,NDA
"Wabeno Area School District, Wisconsin",,NDA,NDA
"La Mesa-Spring Valley School District, California",,NDA,NDA
"Westminster Public Schools, Colorado",,NDA,NDA
"Ridgewood Village School District, New Jersey",,NDA,NDA
"University of Connecticut, Connecticut",,NDA,NDA
"Dexter R-XI Public Schools, Missouri",,NDA,NDA
"Warren County R-III Schools, Missouri",,NDA,NDA
"Wood County Schools, West Virginia",,NDA,NDA
"C.C. Griffin STEM Middle School, North Carolina",,NDA,NDA
"Kennett Consolidated School District, Pennsylvania",,NDA,NDA
"Mexico School District No. 59, Missouri",,NDA,NDA
"Iowa State University, Iowa",,NDA,NDA
"Whitefish School District, Montana",,NDA,NDA
"Hoover-Schrum Memorial School District #157, Illinois",,NDA,NDA
"Marshall County Hospital, Kentucky",,NDA,NDA
"Harrisburg School District No. 41-2, South Dakota",,NDA,NDA
"Aptakisic-Tripp Community Consolidated School District No. 102, Illinois",,NDA,NDA
"Rutgers University, New Jersey",,NDA,NDA
"Greene County Community School District Directory, Iowa",,NDA,NDA
"City of Rosemount, Minnesota",,NDA,NDA
"Plymouth Public Schools, Massachusetts",,NDA,NDA
"Town of Bedford, Massachusetts",,NDA,NDA
"Blast Intermediate Unit 17, Pennsylvania",,NDA,NDA
"Schalmont Central School District, New York",,NDA,NDA
"Oswayo Valley School District, Pennsylvania",,NDA,NDA
"Horizon Science Academy - Belmont, Illinois",,NDA,NDA
"New York City School District #8, New York",,NDA,NDA
"Bandera Independent School District, Texas",,NDA,NDA
"Portland Public Schools, Maine",,NDA,NDA
"Tallmadge City School District, Ohio",,NDA,NDA
"Park Rapids Area Schools, Minnesota",,NDA,NDA
"Wood Dale School District 7, Illinois",,NDA,NDA
"Hastings-on-Hudson Union Free School District, New York",,NDA,NDA
"Little Chute Area School District, Wisconsin",,NDA,NDA
"Minneapolis Public Schools, Minnesota",,NDA,NDA
"Gananda Central School District, New York",,NDA,NDA
"Cook County, Illinois",,NDA,NDA
"Westerville City School District, Ohio",,NDA,NDA
"Walpole Public Schools, Massachusetts",,NDA,NDA
"Lancaster School District, Pennsylvania",,NDA,NDA
"Lake Shore Central School District, New York",,NDA,NDA
"Lowville Central School District, New York",,NDA,NDA
"County of Santa Clara, California",,NDA,NDA
"Elizabethtown Area School District, Pennsylvania",,NDA,NDA
"City of Horton, Kansas",,NDA,NDA
"Hesperia Unified School District, California",,NDA,NDA
"Merton Community School District, Wisconsin",,NDA,NDA
"Absecon City School District, New Jersey",,NDA,NDA
"Durham County, North Carolina",,NDA,NDA
"Harnett County Schools, North Carolina",,NDA,NDA
"Randolph Field ISD, Texas",,NDA,NDA
"Sage Valley Junior High, Wyoming",,NDA,NDA
"Bloomfield School District, New Mexico",,NDA,NDA
"Afton Central School District, New York",,NDA,NDA
"Charles R. Drew Charter School, Georgia",,NDA,NDA
"Dublin City School District, Ohio",,NDA,NDA
"Georgetown Independent School District, Texas",,NDA,NDA
"Hunterdon County, New Jersey",,NDA,NDA
"Pawnee City Schools, Nebraska",,NDA,NDA
"Santa Fe College, Florida",,NDA,NDA
"Wareham Public Schools, Massachusetts",,NDA,NDA
"Reed City Area Public Schools, Michigan",,NDA,NDA
"Texas A&M University System, Texas",,NDA,NDA
"Wharton County Jr College, Texas",,NDA,NDA
"Spirit Lake Community Schools, Iowa",,NDA,NDA
"South River Borough School District, New Jersey",,NDA,NDA
"Camden Intermediate School, North Carolina",,NDA,NDA
"Englewood Public Schools, Colorado",,NDA,NDA
"William Mendenhall Middle School, California",,NDA,NDA
"Civil Corps of Engineers - GSA, District of Columbia",,NDA,NDA
"Hudsonville Public Schools, Michigan",,NDA,NDA
"National Aeronautics and Space Administration - GSA, District of Columbia",,NDA,NDA
"Anna Local School District, Ohio",,NDA,NDA
"Washington State University, Washington",,NDA,NDA
"Washakie County School District #2, Wyoming",,NDA,NDA
"Franklin County School District, Florida",,NDA,NDA
"West Cabarrus High School, North Carolina",,NDA,NDA
"Ottoville Local School District, Ohio",,NDA,NDA
"Harper Creek Community Schools, Michigan",,NDA,NDA
"Otis Orchards School, Washington",,NDA,NDA
"Winecoff Elementary, North Carolina",,NDA,NDA
"Cleveland County Schools, North Carolina",,NDA,NDA
"Lebanon R-3 Schools, Missouri",,NDA,NDA
"Snowline Joint Unified School District, California",,NDA,NDA
"Whitnall School District, Wisconsin",,NDA,NDA
"Southern Tioga School District, Pennsylvania",,NDA,NDA
"Hopkinton School District, New Hampshire",,NDA,NDA
"Sheridan School District, Arkansas",,NDA,NDA
"David City Public Schools, Nebraska",,NDA,NDA
"East Rockaway Union Free School District, New York",,NDA,NDA
"Lakeland School District, Pennsylvania",,NDA,NDA
"Pleasantville Union Free School District, New York",,NDA,NDA
"Bloomington Public Schools District No. 87, Illinois",,NDA,NDA
"Ware Public Schools, Massachusetts",,NDA,NDA
"Junction Avenue K - 8 School, California",,NDA,NDA
"Blissfield Community Schools, Michigan",,NDA,NDA
"Manteca Unified School District, California",,NDA,NDA
"Pennsylvania State System of Higher Education (PASSHE), Pennsylvania",,NDA,NDA
"Lockport City School District, New York",,NDA,NDA
"Alvin Independent School District, Texas",,NDA,NDA
"Waterloo Central School District, New York",,NDA,NDA
"Jersey Shore Area School District, Pennsylvania",,NDA,NDA
"Rose Tree Media School District, Pennsylvania",,NDA,NDA
"Yazoo County Middle School, Mississippi",,NDA,NDA
"Perry Community School District, Iowa",,NDA,NDA
"Wahitis Elementary School, Washington",,NDA,NDA
"Emmetsburg Community School District, Iowa",,NDA,NDA
"Redlands Unified School District, California",,NDA,NDA
"Chardon Local School District, Ohio",,NDA,NDA
"Monroe City Schools, Louisiana",,NDA,NDA
"Fleetwood Area School District, Pennsylvania",,NDA,NDA
"New York City School District #10, New York",,NDA,NDA
"Rockingham County Public Schools (county maintained records), Virginia",,NDA,NDA
"Weston Ranch High School, California",,NDA,NDA
"Hamilton Middle School, Texas",,NDA,NDA
"Shamong Township School District, New Jersey",,NDA,NDA
"City of Lynn Haven, Florida",,NDA,NDA
"Walter C. Young Middle School, Florida",,NDA,NDA
"Texas A&M University-Kingsville, Texas",,NDA,NDA
"Revere Local Schools, Ohio",,NDA,NDA
"Comal Independent School District, Texas",,NDA,NDA
"Frontier Central School District, New York",,NDA,NDA
"Independent U.S. Government Offices - GSA, District of Columbia",,NDA,NDA
"Hazelwood School District, Missouri",,NDA,NDA
"Monroeville Local School District, Ohio",,NDA,NDA
"Palm Beach County Department of Airports, Florida",,NDA,NDA
"City of Columbus, Ohio",,NDA,NDA
"University of Virginia, Virginia",,NDA,NDA
"Berlin Township School District, New Jersey",,NDA,NDA
"Clark County Area Technology Center, Kentucky",,NDA,NDA
"Indianola Community School District, Iowa",,NDA,NDA
"Oakton Community College, Illinois",,NDA,NDA
"Metropolitan Water District of Southern California, California",,NDA,NDA
"Wellston City School District, Ohio",,NDA,NDA
"Crestwood Local School District, Ohio",,NDA,NDA
"Hopper Middle School, Texas",,NDA,NDA
"Groton-Dunstable Regional School District, Massachusetts",,NDA,NDA
"Tri-City United Public Schools ISD 2905, Minnesota",,NDA,NDA
"City of Fond Du Lac, Wisconsin",,NDA,NDA
"Great Falls Public Schools, Montana",,NDA,NDA
"New Lebanon Local School District, Ohio",,NDA,NDA
"James Rhoads School, Pennsylvania",,NDA,NDA
"Cedars International Schools, Texas",,NDA,NDA
"Brodhead School District, Wisconsin",,NDA,NDA
"Jenks Public Schools, Oklahoma",,NDA,NDA
"Shamokin Area School District, Pennsylvania",,NDA,NDA
"Ashdown Public School District, Arkansas",,NDA,NDA
"Molalla River School District, Oregon",,NDA,NDA
"Walton Central School District, New York",,NDA,NDA
"Delavan Darien School District, Wisconsin",,NDA,NDA
"Burlington Township School District, New Jersey",,NDA,NDA
"Guilford County Schools, North Carolina",,NDA,NDA
"Oceanway School, Florida",,NDA,NDA
